,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
140,2022-02-06,Hamidou Diallo,DET @ MIN,11.5,,,,,,,,,,1628977.0,22021
141,2022-02-06,Kevin Huerter,ATL @ DAL,11.5,2.5,2.5,0.5,0.5,1.5,,,,,1628989.0,22021
142,2022-02-06,Jayson Tatum,BOS @ ORL,26.5,7.5,3.5,0.5,0.5,2.5,,,,,1628369.0,22021
143,2022-02-06,Devonte' Graham,NOR @ HOU,13.5,2.5,4.5,0.5,1.5,2.5,,,,,1628984.0,22021
144,2022-02-06,Danny Green,PHI @ CHI,,3.5,0.5,,,,,,,,201980.0,22021
145,2022-02-06,Reggie Bullock,DAL vs. ATL,12.5,5.5,1.5,0.5,0.5,2.5,,,,,203493.0,22021
146,2022-02-06,Javonte Green,CHI vs. PHI,10.5,5.5,1.5,0.5,0.5,,,,,,1629750.0,22021
147,2022-02-06,Josh Richardson,BOS @ ORL,9.5,2.5,1.5,,0.5,,,,,,1626196.0,22021
148,2022-02-06,Kelly Olynyk,DET @ MIN,,4.5,2.5,,,,,,,,203482.0,22021
149,2022-02-06,Isaac Okoro,CLE vs. IND,10.5,2.5,2.5,0.5,0.5,0.5,,,,,1630171.0,22021
150,2022-02-06,Gary Harris,ORL vs. BOS,10.5,1.5,1.5,0.5,0.5,,,,,,203914.0,22021
151,2022-02-06,Jalen Suggs,ORL vs. BOS,13.5,4.5,4.5,0.5,1.5,0.5,,,,,1630591.0,22021
152,2022-02-06,Luka Doncic,DAL vs. ATL,30.5,9.5,9.5,,1.5,2.5,,,,,1629029.0,22021
153,2022-02-06,Georges Niang,PHI @ CHI,,2.5,0.5,,,,,,,,1627777.0,22021
154,2022-02-06,Pat Connaughton,MIL @ LAC,,,0.5,,,,,,,,1626192.0,22021
155,2022-02-06,Troy Brown Jr.,CHI vs. PHI,,5.5,2.5,,,,,,,,1628972.0,22021
156,2022-02-06,Will Barton,DEN vs. BKN,15.5,4.5,4.5,,0.5,2.5,,,,,203115.0,22021
157,2022-02-06,Rajon Rondo,CLE vs. IND,,2.5,4.5,,,,,,,,200765.0,22021
158,2022-02-06,Donte DiVincenzo,MIL @ LAC,,,1.5,,,,,,,,1628978.0,22021
159,2022-02-06,Malik Beasley,MIN vs. DET,9.5,,0.5,,,1.5,,,,,1627736.0,22021
160,2022-02-06,Chuma Okeke,ORL vs. BOS,7.5,3.5,1.5,,1.5,,,,,,1629643.0,22021
161,2022-02-06,Bogdan Bogdanovic,ATL @ DAL,12.5,3.5,3.5,0.5,0.5,,,,,,203992.0,22021
162,2022-02-06,Herbert Jones,NOR @ HOU,11.5,4.5,2.5,0.5,1.5,1.5,,,,,1630529.0,22021
163,2022-02-06,Jarrett Allen,CLE vs. IND,15.5,10.5,1.5,,0.5,,,,,,1628386.0,22021
164,2022-02-06,Dean Wade,CLE vs. IND,,3.5,1.5,,,,,,,,1629731.0,22021
165,2022-02-06,Killian Hayes,DET @ MIN,,,4.5,,,,,,,,1630165.0,22021
166,2022-02-06,Duane Washington Jr.,IND @ CLE,,1.5,2.5,,,,,,,,1630613.0,22021
167,2022-02-06,Jaylen Brown,BOS @ ORL,24.5,6.5,3.5,,0.5,2.5,,,,,1627759.0,22021
168,2022-02-06,Bryn Forbes,DEN vs. BKN,9.5,,1.5,,,1.5,,,,,1627854.0,22021
169,2022-02-06,Ayo Dosunmu,CHI vs. PHI,11.5,3.5,,,0.5,1.5,,,,,1630245.0,22021
170,2022-02-06,DeAndre' Bembry,BKN @ DEN,,3.5,1.5,,,,,,,,1627761.0,22021
171,2022-02-06,Naz Reid,MIN vs. DET,,3.5,0.5,,,,,,,,1629675.0,22021
172,2022-02-06,Anthony Edwards,MIN vs. DET,22.5,4.5,3.5,0.5,1.5,2.5,,,,,1630162.0,22021
173,2022-02-06,Dennis Schroder,BOS @ ORL,,1.5,2.5,0.5,,,,,,,203471.0,22021
174,2022-02-06,Cole Anthony,ORL vs. BOS,,,5.5,0.5,0.5,1.5,,,,,1630175.0,22021
175,2022-02-06,Franz Wagner,ORL vs. BOS,15.5,,2.5,,0.5,1.5,,,,,1630532.0,22021
176,2022-02-06,Jeff Green,DEN vs. BKN,8.5,2.5,0.5,0.5,0.5,0.5,,,,,201145.0,22021
177,2022-02-06,Monte Morris,DEN vs. BKN,13.5,2.5,4.5,0.5,0.5,1.5,,,,,1628420.0,22021
178,2022-02-06,Frank Jackson,DET @ MIN,,1.5,1.5,,,,,,,,1628402.0,22021
179,2022-02-06,Taurean Prince,MIN vs. DET,,3.5,1.5,,,,,,,,1627752.0,22021
180,2022-02-06,Cedi Osman,CLE vs. IND,,2.5,2.5,,,,,,,,1626224.0,22021
181,2022-02-06,John Collins,ATL @ DAL,,7.5,1.5,0.5,,1.5,,,,,1628381.0,22021
182,2022-02-06,Trey Lyles,DET @ MIN,,,1.5,,,,,,,,1626168.0,22021
183,2022-02-06,Kevin Love,CLE vs. IND,,,2.5,,,,,,,,201567.0,22021
184,2022-02-06,Bones Hyland,DEN vs. BKN,7.5,2.5,1.5,0.5,0.5,,,,,,1630538.0,22021
185,2022-02-06,Cam Thomas,BKN @ DEN,,2.5,1.5,,,,,,,,1630560.0,22021
186,2022-02-06,Blake Griffin,BKN @ DEN,,,3.5,,,,,,,,201933.0,22021
187,2022-02-06,Keifer Sykes,IND @ CLE,,2.5,2.5,,,,,,,,1626208.0,22021
188,2022-02-06,Nickeil Alexander-Walker,NOR @ HOU,,2.5,2.5,,,,,,,,1629638.0,22021
189,2022-02-06,Andre Drummond,PHI @ CHI,,6.5,1.5,,,,,,,,203083.0,22021
190,2022-02-07,Nikola Vucevic,CHI vs. PHO,20.5,12.5,4.5,0.5,0.5,1.5,,,,,202696.0,22021
191,2022-02-07,Zach LaVine,CHI vs. PHO,22.5,4.5,3.5,,,,,,,,203897.0,22021
192,2022-02-07,Devin Booker,PHO @ CHI,30.5,4.5,4.5,0.5,1.5,2.5,,,,,1626164.0,22021
193,2022-02-07,Julius Randle,NYK @ UTH,17.5,8.5,5.5,,0.5,1.5,,,,,203944.0,22021
194,2022-02-07,DeMar DeRozan,CHI vs. PHO,27.5,5.5,5.5,0.5,0.5,,,,,,201942.0,22021
195,2022-02-07,Stephen Curry,GSW @ OKC,23.5,5.5,6.5,,,4.5,,,,,201939.0,22021
196,2022-02-07,P.J. Tucker,MIA @ WAS,9.5,5.5,1.5,0.5,0.5,1.5,,,,,200782.0,22021
197,2022-02-07,Josh Giddey,OKC vs. GSW,15.5,,6.5,,0.5,1.5,,,,,1630581.0,22021
198,2022-02-07,Kyle Kuzma,WAS vs. MIA,18.5,8.5,3.5,0.5,0.5,1.5,,,,,1628398.0,22021
199,2022-02-07,OG Anunoby,TOR @ CHA,16.5,5.5,2.5,,1.5,2.5,,,,,,22021
200,2022-02-07,Montrezl Harrell,WAS vs. MIA,12.5,5.5,1.5,,,,,,,,1626149.0,22021
201,2022-02-07,Klay Thompson,GSW @ OKC,18.5,3.5,3.5,,0.5,2.5,,,,,202691.0,22021
