,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player_Name,POS,TEAM,Off_Days,TEAM_ID
88,22021,1630173,0022100599,2022-01-09,TOR vs. NOP,W,27,3,6,0.5,0,1,0.0,0,0,0.0,2,7,9,0,1,2,1,2,6,12,1,Precious Achiuwa,Forward,TOR,2,1610612761
89,22021,1630173,0022100613,2022-01-11,TOR vs. PHX,L,22,3,7,0.429,0,2,0.0,0,0,0.0,2,4,6,0,2,0,0,3,6,-7,1,Precious Achiuwa,Forward,TOR,2,1610612761
90,22021,1630173,0022100633,2022-01-14,TOR @ DET,L,25,2,7,0.286,0,1,0.0,0,0,0.0,3,5,8,0,0,1,1,3,4,-3,1,Precious Achiuwa,Forward,TOR,3,1610612761
91,22021,1630173,0022100641,2022-01-15,TOR @ MIL,W,39,7,13,0.538,0,3,0.0,0,0,0.0,4,6,10,2,1,3,2,5,14,0,1,Precious Achiuwa,Forward,TOR,1,1610612761
92,22021,1630173,0022100662,2022-01-17,TOR @ MIA,L,37,3,8,0.375,0,1,0.0,0,0,0.0,6,9,15,1,1,1,0,2,6,-3,1,Precious Achiuwa,Forward,TOR,2,1610612761
93,22021,1630173,0022100675,2022-01-19,TOR @ DAL,L,33,5,10,0.5,0,1,0.0,2,3,0.667,2,3,5,0,0,0,2,2,12,-9,1,Precious Achiuwa,Forward,TOR,2,1610612761
94,22021,1630173,0022100689,2022-01-21,TOR @ WAS,W,19,2,5,0.4,1,2,0.5,0,0,0.0,0,5,5,0,0,0,0,0,5,11,1,Precious Achiuwa,Forward,TOR,2,1610612761
95,22021,1630173,0022100702,2022-01-23,TOR vs. POR,L,15,1,2,0.5,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,0,3,-14,1,Precious Achiuwa,Forward,TOR,2,1610612761
96,22021,1630173,0022100715,2022-01-25,TOR vs. CHA,W,25,3,6,0.5,1,1,1.0,2,5,0.4,2,5,7,3,0,0,2,1,9,8,1,Precious Achiuwa,Forward,TOR,2,1610612761
97,22021,1630173,0022100472,2022-01-26,TOR @ CHI,L,23,1,4,0.25,0,2,0.0,1,2,0.5,2,4,6,0,1,0,1,1,3,-2,1,Precious Achiuwa,Forward,TOR,1,1610612761
98,22021,1630173,0022100748,2022-01-29,TOR @ MIA,W,16,4,5,0.8,0,0,0.0,0,0,0.0,1,2,3,0,0,2,0,0,8,-1,1,Precious Achiuwa,Forward,TOR,3,1610612761
99,22021,1630173,0022100767,2022-01-31,TOR @ ATL,W,18,3,6,0.5,1,1,1.0,0,0,0.0,1,3,4,1,0,0,0,2,7,-6,1,Precious Achiuwa,Forward,TOR,2,1610612761
100,22021,1630173,0022100784,2022-02-01,TOR vs. MIA,W,19,5,7,0.714,2,3,0.667,0,2,0.0,3,4,7,1,1,1,2,4,12,-1,1,Precious Achiuwa,Forward,TOR,1,1610612761
101,22021,1630173,0022100430,2022-02-03,TOR vs. CHI,W,18,2,9,0.222,0,0,0.0,1,1,1.0,5,6,11,1,0,1,0,1,5,3,1,Precious Achiuwa,Forward,TOR,2,1610612761
